NumberTag, SearchHit
339722, "Si on gagnait la guerre . . . on y ferait la teuf."
348831, "Si on gagnait la guerre . . . on y ferait la teuf."
1579726, "Que la teuf commence !"
1594648, "Je sais pas , mais il rate une teuf d' enfer !"
2073807, "Sacrée teuf , ça , mec !"
2077840, "C' est comme rentrer le vendredi soir et faire ses devoirs tout de suite pour pouvoir faire la teuf le samedi soir ?"
2279856, "Y a pas de teuf"
2279860, "Viens faire la teuf!"
2283635, "On ira à la teuf de Stifler , après ?"
2285306, "On va à une teuf sur le lac 4 ans qu' on attendait ça"
2289715, "A nous les clubs , les bars , la dope et la teuf ."
2293778, "Y a une teuf à Super Ely ."
3315667, "- Et ma teuf ?"
3316179, "Peut- être ... que je peux donner la teuf du mois chez toi ."
3326643, "- Et ma teuf ?"
3327152, "Peut- être ... que je peux donner la teuf du mois chez toi ."
3327166, "Quelle teuf ?"
4050302, "T' organises une teuf , non ?"
4051514, "Elle fait une teuf ."
4052164, "C' est quoi , cette teuf ?"
